tipo_gestion,componente,color1,color2,bg
Gestión institucional,Dirección estratégica,#0000CC,red,palegreen2
Gestión institucional,Organización ,#CC0000,maroon4,palegreen2
Gestión institucional,Mejora continua ,#006600,black,palegreen2
Gestión institucional,Transparencia,#D05400,navyblue,palegreen2
Gestión académica y programas de estudios,Servicios académicos a estudiantes,#C00000,red,lightskyblue1
Gestión académica y programas de estudios,Atracción de estudiantes,#7030A0,maroon4,lightskyblue1
Gestión académica y programas de estudios,Seguimiento a egresados,#FF0000,black,lightskyblue1
Gestión académica y programas de estudios,Formación académica,#002060,green4,lightskyblue1
Gestión académica y programas de estudios,Práctica pre profesional,#00B050,skyblue4,lightskyblue1
Gestión académica y programas de estudios,Investigación,#00B0F0,plum3,lightskyblue1
Gestión académica y programas de estudios,Orientación y tutoría,#385623,slategrey,lightskyblue1
Gestión académica y programas de estudios,Promoción del bienestar,#0070C0,tan3,lightskyblue1
Gestión académica y programas de estudios,Desarrollo profesional de los docentes,#C45911,turquoise4,lightskyblue1
"Infraestructura física, equipamiento y recursos para el aprendizaje. Componentes:",Infraestructura y servicios básicos,#663300,red,khaki
"Infraestructura física, equipamiento y recursos para el aprendizaje. Componentes:",Ambientes,#000066,maroon4,khaki
"Infraestructura física, equipamiento y recursos para el aprendizaje. Componentes:",Mantenimiento,#003300,black,khaki
